NumTrees,MaxNumSplits,MinLeafSize,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,TN,FP,FN,TP,TargetMet,TargetScore,AccuracyPct,SensitivityPct,SpecificityPct,PrecisionPct,F1Pct
500,30,5,0.63,0.925373134328358,0.92713567839196,0.915492957746479,0.984,0.954721862871928,0.946634581357492,65,6,29,369,0,0.974076983503535,92.5373134328358,92.713567839196,91.5492957746479,98.4,95.4721862871928
100,20,1,0.7,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.937292094274188,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
100,30,2,0.66,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.947820086347229,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
200,20,2,0.65,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.945095194281265,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
200,20,3,0.61,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.950916554604006,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
200,25,2,0.67,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.950491896100219,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
300,20,1,0.68,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.941432514686107,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
300,25,1,0.71,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.940512421261236,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
300,25,5,0.59,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.944546677047208,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
300,30,2,0.69,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.944617453464506,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
500,25,1,0.69,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.946776134192087,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
500,30,2,0.64,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.945767570245594,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
500,30,3,0.67,0.925373134328358,0.92964824120603,0.901408450704225,0.981432360742706,0.954838709677419,0.948917120815344,64,7,28,370,0,0.974076983503535,92.5373134328358,92.964824120603,90.1408450704225,98.1432360742706,95.4838709677419
100,10,1,0.6,0.923240938166311,0.924623115577889,0.915492957746479,0.983957219251337,0.953367875647668,0.942671101988817,65,6,30,368,0,0.971832566490854,92.3240938166311,92.462311557789,91.5492957746479,98.3957219251337,95.3367875647669
200,25,3,0.68,0.923240938166311,0.924623115577889,0.915492957746479,0.983957219251337,0.953367875647668,0.947678533512634,65,6,30,368,0,0.971832566490854,92.3240938166311,92.462311557789,91.5492957746479,98.3957219251337,95.3367875647669
300,15,5,0.61,0.923240938166311,0.924623115577889,0.915492957746479,0.983957219251337,0.953367875647668,0.942352608110977,65,6,30,368,0,0.971832566490854,92.3240938166311,92.462311557789,91.5492957746479,98.3957219251337,95.3367875647669
